[doctest] test cases:     38 |     38 passed | 0 failed | 0 skipped | [doctest] assertions: 108417 | 108417 passed | 0 failed |
[doctest] test cases:     38 |     38 passed | 0 failed | 0 skipped | [doctest] assertions: 108603 | 108603 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
[doctest] test cases: 1 | 1 passed | 0 failed | 0 skipped | [doctest] assertions: 4 | 4 passed | 0 failed |
